iter	MultiClass
0	1.355653561
1	1.193017196
2	1.074889323
3	0.9810386865
4	0.9062992733
5	0.8462163493
6	0.7994736347
7	0.7571784578
8	0.7194132475
9	0.6848448005
10	0.6562860721
11	0.6314847815
12	0.6107387672
13	0.5946731731
14	0.5781086035
15	0.561197381
16	0.5473707673
17	0.5326799719
18	0.5227111824
19	0.5140844351
20	0.5046112793
21	0.4963721409
22	0.4874340346
23	0.4797875155
24	0.4710776764
25	0.4646908018
26	0.4598486979
27	0.4549282135
28	0.4489337895
29	0.4454136477
30	0.4393356061
31	0.435426564
32	0.4306523006
33	0.4263561114
34	0.4239246058
35	0.4200422401
36	0.4168389169
37	0.4132691974
38	0.4095516478
39	0.406407761
40	0.4042176856
41	0.4016533259
42	0.3975467576
43	0.3957912271
44	0.3932372047
45	0.3909974479
46	0.3875601555
47	0.3855799988
48	0.3840356232
49	0.3820410859
50	0.3800133702
51	0.3788284607
52	0.3770123533
53	0.374712264
54	0.3718446021
55	0.3703576856
56	0.36911167
57	0.3674870278
58	0.365355687
59	0.363115635
60	0.3613858569
61	0.3603829128
62	0.3589758237
63	0.3566126454
64	0.3548725095
65	0.3523744219
66	0.3508931475
67	0.3497421018
68	0.3480711851
69	0.3461240155
70	0.3443414908
71	0.3426617562
72	0.3411815908
73	0.3400712661
74	0.3381231343
75	0.3361301588
76	0.334600714
77	0.3330135292
78	0.3309614702
79	0.3295704284
80	0.3274634621
81	0.3258688813
82	0.3230542248
83	0.3210571006
84	0.3199194036
85	0.3179430001
86	0.315759623
87	0.3141581134
88	0.3114014174
89	0.3102701297
90	0.3085368245
91	0.3063864118
92	0.3042907034
93	0.3023955826
94	0.3012069619
95	0.2996465706
96	0.2980298355
97	0.2961954062
98	0.294195377
99	0.292966511
