iter	Passed	Remaining
0	12	1217
1	15	771
2	17	578
3	19	471
4	22	423
5	25	392
6	27	368
7	29	343
8	32	330
9	34	313
10	37	300
11	39	290
12	41	279
13	43	269
14	46	261
15	48	252
16	50	248
17	53	243
18	55	237
19	58	234
20	61	231
21	64	227
22	66	221
23	68	217
24	71	215
25	74	210
26	77	208
27	79	205
28	81	200
29	84	198
30	87	193
31	89	189
32	91	186
33	94	182
34	96	179
35	98	175
36	100	170
37	102	167
38	105	165
39	107	161
40	111	160
41	113	156
42	115	153
43	118	151
44	120	147
45	123	144
46	125	141
47	127	138
48	130	135
49	132	132
50	134	129
51	136	126
52	138	123
53	140	119
54	143	117
55	145	114
56	147	111
57	150	108
58	152	105
59	154	103
60	157	100
61	159	97
62	161	94
63	163	92
64	166	89
65	168	86
66	170	84
67	172	81
68	175	78
69	177	76
70	179	73
71	182	70
72	184	68
73	187	65
74	189	63
75	191	60
76	193	57
77	195	55
78	197	52
79	200	50
80	203	47
81	206	45
82	210	43
83	212	40
84	215	38
85	217	35
86	220	32
87	223	30
88	226	27
89	228	25
90	230	22
91	233	20
92	236	17
93	239	15
94	242	12
95	245	10
96	247	7
97	249	5
98	251	2
99	255	0
